year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,99,132,188,178
1988,118,176,113,295
1989,210,116,141,181
1990,193,45,186,201
1991,125,143,118,199
1992,189,82,156,148
1993,214,122,227,111
1994,109,139,217,236
1995,150,167,106,139
1996,61,102,175,205
1997,81,110,184,202
1998,150,91,189,169
1999,143,108,122,194
2000,125,105,157,255
2001,124,119,253,234
2002,160,68,136,108
2003,54,140,126,178
2004,139,60,181,146
2005,84,63,69,125
2006,58,95,103,223
2007,155,79,317,205
2008,128,126,241,219
2009,105,137,222,185
2010,98,119,276,153
2011,85,87,248,180
2012,178,164,196,221
2013,70,93,190,141
2014,111,122,145,119
2015,110,111,111,109
2016,118,123,143,97
