year,F1,F3,M4
,label F1,label F3,label M4
1987,122,173,2
1988,112,165,4
1989,126,172,2
1990,138,186,1
1991,128,175,3
1992,124,173,2
1993,119,183,2
1994,129,177,3
1995,121,169,2
1996,131,183,5
1997,106,167,3
1998,123,167,2
1999,109,168,3
2000,136,177,2
2001,121,172,4
2002,112,168,2
2003,126,169,3
2004,132,175,2
2005,118,166,1
2006,128,175,6
2007,109,170,4
2008,99,171,4
2009,131,171,2
2010,130,167,4
2011,117,164,0
2012,128,174,3
2013,127,169,6
2014,125,168,4
2015,120,172,3
2016,103,163,0
2016
2017,95,156,0
2018,116,161,1
2019,102,150,1
2020,66,144,1
2021,109,150,1
2022,121,168,0
2023,122,171,3
2024,104,155,1
2025,121,161,2
2026,116,157,1
2027,100,146,3
2028,9,156,0
2029,103,152,1
2030,105,156,1
2031,89,144,2
2032,106,149,3
2033,104,156,1
2034,113,162,2
2035,103,155,2
2036,119,166,1
2037,94,156,2
2038,102,157,3
2039,124,163,0
2040,111,156,1
2041,84,165,1
2042,125,168,0
2043,76,137,4
2044,108,152,1
2045,97,155,2
2046,99,152,1
