year,annual-estival-days
1987,0
1988,4
1989,6
1990,0
1991,9
1992,6
1993,9
1994,12
1995,2
1996,1
1997,18
1998,0
1999,9
2000,0
2001,7
2002,9
2003,16
2004,4
2005,10
2006,6
2007,5
2008,0
2009,0
2010,16
2011,11
2012,3
2013,4
2014,19
2015,2
2016,4
