year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-5.8,7.6,13.4,3.6
1988,-1.1,9.6,15.9,2.0
1989,2.5,10.3,15.5,3.6
1990,1.8,10.4,14.7,4.0
1991,-0.8,8.5,16.0,4.5
1992,1.5,9.4,15.7,3.2
1993,0.5,11.3,13.9,1.7
1994,-3.2,8.7,16.0,3.3
1995,0.6,9.6,15.1,3.1
1996,-5.2,8.0,14.5,3.9
1997,0.0,8.6,17.0,2.5
1998,0.0,9.3,14.4,2.3
1999,-1.4,10.0,16.4,4.5
2000,0.8,9.4,14.2,6.6
2001,-0.8,8.7,16.6,3.6
2002,1.2,10.4,16.8,0.4
2003,-2.7,8.3,16.8,4.6
2004,-1.2,9.0,16.3,5.1
2005,-1.6,8.9,16.8,5.1
2006,-3.3,9.4,17.5,7.5
2007,0.2,10.1,15.9,5.3
2008,1.9,9.9,15.3,5.7
2009,-0.7,9.3,16.4,3.3
2010,-4.6,8.9,17.5,1.9
2011,-2.7,10.0,17.3,6.9
2012,-1.7,9.4,16.1,3.6
2013,-2.7,10.1,16.1,6.2
2014,0.0,9.5,17.4,5.0
2015,1.9,9.6,16.4,6.4
2016,-0.5,11.2,16.5,3.5
