year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-EMU,label C2-EMU,label C3-EMU,label C12-EMU,label M1,label M2,label M8-EMU,label Co2,label Co3-EMU
1987,0,0,-103,3,0,-212,54,18,36
1988,2,0,-175,2,0,-270,54,37,42
1989,4,0,-109,1,0,-125,41,31,104
1990,0,3,-117,6,0,-201,62,54,45
1991,2,0,-207,4,0,-325,57,39,50
1992,5,0,-125,3,0,-206,56,22,66
1993,3,0,-182,1,0,-285,61,41,62
1994,0,0,-136,5,0,-269,52,29,46
1995,1,0,-111,2,0,-184,60,36,55
1996,1,0,-145,5,0,-339,54,49,41
1997,4,0,-188,4,0,-356,60,39,34
1998,3,0,-146,2,0,-143,51,34,95
1999,12,0,-186,5,0,-353,48,26,39
2000,1,2,-159,1,0,-249,49,60,87
2001,1,0,-52,6,0,-149,56,57,18
2002,0,0,-78,3,0,-169,58,25,20
2003,4,0,-160,2,0,-235,46,34,64
2004,0,0,-132,3,0,-218,60,30,38
2005,0,0,-70,4,0,-148,56,34,48
2006,4,0,-181,5,0,-274,47,28,41
2007,8,0,-108,5,0,-223,51,17,37
2008,1,0,-76,1,0,-139,51,44,55
2009,1,0,-165,4,0,-210,45,43,66
2010,2,0,-159,1,0,-211,40,35,77
2011,1,0,-121,3,0,-235,47,49,40
2012,4,0,-135,4,0,-196,42,48,35
2013,6,0,-131,4,0,-224,52,38,22
2014,6,0,-121,3,0,-197,57,36,46
2015,4,0,-111,3,0,-214,45,31,49
2016,0,0,-101,3,0,-138,54,34,58
2016
2017,9,0,-199,6,0,-299,50,45,16
2018,12,0,-196,3,0,-278,52,47,88
2019,16,0,-220,5,0,-275,33,48,78
2020,3,0,-194,2,0,-241,55,44,61
2021,8,0,-247,1,0,-288,39,49,93
2022,3,0,-176,1,0,-137,44,42,121
2023,16,2,-214,1,0,-404,40,45,26
2024,25,0,-256,3,1,-364,50,45,43
2025,9,0,-196,4,0,-268,42,43,39
2026,11,1,-262,2,0,-295,40,51,83
2027,15,0,-270,6,0,-398,41,48,23
2028,6,0,-189,2,0,-242,39,48,54
2029,23,0,-279,3,2,-380,61,45,55
2030,17,0,-201,1,0,-307,38,62,57
2031,17,0,-239,1,0,-303,43,42,58
2032,12,0,-186,4,0,-239,48,41,64
2033,9,0,-143,6,0,-224,47,48,37
2034,25,0,-200,3,1,-286,46,59,58
2035,8,0,-180,6,0,-274,44,51,25
2036,10,0,-164,6,0,-284,45,49,8
2037,7,0,-135,5,0,-175,50,50,84
2038,19,0,-214,2,0,-290,44,48,70
2039,18,1,-187,2,0,-273,56,40,50
2040,12,0,-231,5,0,-301,46,43,38
2041,9,2,-164,3,0,-195,46,50,78
2042,31,0,-215,1,2,-310,46,36,50
2043,27,0,-235,4,7,-236,43,48,79
2044,19,0,-212,2,3,-292,49,43,59
2045,9,0,-140,4,0,-166,50,57,74
2046,8,0,-220,1,0,-204,55,38,132
