year,F1,F3,M4
,label F1,label F3,label M4
1987,34,115,3
1988,61,132,3
1989,50,132,2
1990,37,114,1
1991,62,135,2
1992,26,141,1
1993,64,124,0
1994,65,128,4
1995,51,116,3
1996,47,120,5
1997,57,119,2
1998,48,134,2
1999,36,119,4
2000,71,129,3
2001,59,137,1
2002,62,125,1
2003,57,140,0
2004,56,135,3
2005,51,129,3
2006,38,124,2
2007,56,128,2
2008,46,140,3
2009,50,127,2
2010,47,129,2
2011,59,119,4
2012,42,128,3
2013,55,128,3
2014,61,132,2
2015,24,135,0
2016,58,112,1
2016
2017,50,129,5
2018,49,124,2
2019,24,127,3
2020,46,127,3
2021,28,124,4
2022,50,130,4
2023,48,120,3
2024,41,117,2
2025,59,131,3
2026,61,135,2
2027,36,117,3
2028,29,119,3
2029,33,126,4
2030,34,120,4
2031,36,133,7
2032,65,136,4
2033,34,123,3
2034,24,116,3
2035,35,125,2
2036,32,109,3
2037,69,130,3
2038,38,115,5
2039,21,121,6
2040,66,124,3
2041,42,133,3
2042,40,117,2
2043,30,128,4
2044,40,127,2
2045,34,125,3
2046,57,113,3

min,,80,0
max,,170,10
steps,,10,11
decimal



