year,A1,A2,A3
,label A1,label A2,label A3
1987,30,2490,187
1988,15,2646,112
1989,23,2648,172
1990,22,2548,179
1991,32,2609,248
1992,8,2691,78
1993,7,2695,106
1994,7,2793,106
1995,13,2535,119
1996,8,2327,104
1997,6,2516,74
1998,24,2621,182
1999,29,2334,188
2000,27,2790,228
2001,16,2650,121
2002,17,2784,148
2003,16,2763,145
2004,9,2699,110
2005,47,2473,333
2006,14,2429,119
2007,33,2534,214
2008,31,2871,194
2009,14,2805,132
2010,33,2791,206
2011,11,2439,86
2012,29,2561,252
2013,23,2672,152
2014,28,2791,188
2015,18,2633,155
2016,23,2333,177
2016
2017,40,2383,279
2018,25,2400,165
2019,71,2317,439
2020,45,2454,310
2021,35,2209,287
2022,51,2387,300
2023,61,2395,460
2024,23,2281,247
2025,39,2449,253
2026,52,2554,388
2027,33,2321,287
2028,72,2277,466
2029,39,2405,344
2030,34,2091,286
2031,68,2372,449
2032,52,2551,352
2033,54,2254,362
2034,64,2088,430
2035,61,2470,425
2036,58,2069,414
2037,35,2639,214
2038,54,2041,380
2039,35,2317,262
2040,41,2421,291
2041,48,2522,321
2042,38,2196,272
2043,56,2474,390
2044,36,2352,248
2045,47,2325,342
2046,40,2266,249
