year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,59,71,-36,219
1988,185,127,-91,254
1989,18,-106,-235,49
1990,33,-21,-272,312
1991,92,-114,-189,188
1992,41,35,-37,250
1993,-70,-36,236,310
1994,87,25,-86,146
1995,171,-22,-123,99
1996,47,-139,-96,218
1997,-24,-154,-213,102
1998,-18,-37,-83,84
1999,145,-69,26,132
2000,-81,-165,-130,78
2001,54,-68,-103,62
2002,-34,-99,-32,205
2003,-76,-301,-235,175
2004,36,-145,-90,185
2005,-17,-89,-220,-19
2006,5,-135,-101,23
2007,-33,-86,4,-3
2008,-39,-29,-83,241
2009,-26,-154,-205,13
2010,-18,-13,-127,102
2011,-39,-247,-192,57
2012,-43,-44,-62,36
2013,7,-80,-157,45
2014,-23,-250,-121,84
2015,9,-203,-223,-5
2016,36,13,-250,126
