year,annual-hydric-deficit
1987,313
1988,474
1989,-274
1990,53
1991,-24
1992,290
1993,439
1994,172
1995,125
1996,29
1997,-290
1998,-55
1999,233
2000,-298
2001,-54
2002,40
2003,-438
2004,-13
2005,-345
2006,-209
2007,-119
2008,89
2009,-373
2010,-55
2011,-422
2012,-112
2013,-185
2014,-310
2015,-422
2016,-75
