year,annual-average-temperature
1987,10.5
1988,11.4
1989,11.8
1990,11.7
1991,11.1
1992,11.5
1993,11.2
1994,12.3
1995,11.5
1996,10.5
1997,11.9
1998,11.3
1999,11.7
2000,12.9
2001,12.2
2002,12.7
2003,13.3
2004,11.9
2005,11.9
2006,12.8
2007,12.2
2008,11.8
2009,12.4
2010,11.1
2011,13.0
2012,12.2
2013,11.4
2014,12.9
2015,12.9
2016,12.2

min,9
max,15
steps,7
decimal



