year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,maize-silage,temporary-grasslands,permanent-grasslands,vineyards,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha
2000,62,58,55,85,55,25,25,22,42,105,60,45,46,250
2001,56,50,49,87,40,25,23,25,42,100,58,45,44,250
2002,59,56,50,93,35,28,28,30,42,100,58,45,40,220
2003,42,44,40,85,40,20,20,20,30,50,30,22,27,130
2004,60,60,50,80,40,30,28,28,30,99,66,50,48,320
2005,60,60,50,95,40,30,20,,30,90,38,30,40,300
2006,58,60,50,97,40,20,26,,30,120,64,47,41,275
2007,58,60,50,106,45,22,25,,30,124,76,58,38,350
2008,56,59,55,107,60,22,26,,30,130,74,55,35,340
2009,49,53,50,104,58,28,25,33,30,102,51,40,36,310
2010,59,55,59,107,58,31,27,25,33,123,76,58,34,350
2011,44,39,40,117,50,12,25,,22,114,50,36,41,380
2012,60,55,60,110,45,27,25,,30,84,74,54,33,320
2013,56,51,55,97,50,22,22,,25,103,60,46,31,320
2014,52,57,52,110,50,24,22,29,25,113,56,40,32,360
2015,52,56,50,91,35,20,17,20,25,50,41,29,37,350
2016,64,60,56,104,50,33,20,25,20,105,58,44,46,330
2017,56,60,50,92,50,26,20,25,30,75,43,34,35,290
