year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,47,76,120,50
1988,69,37,117,85
1989,59,54,53,103
1990,107,42,172,163
1991,59,82,85,62
1992,87,85,172,172
1993,77,77,159,202
1994,149,89,324,139
1995,95,162,96,50
1996,48,82,103,137
1997,69,200,106,113
1998,160,130,188,201
1999,161,125,118,139
2000,109,143,192,285
2001,124,94,295,140
2002,153,157,97,169
2003,57,146,191,213
2004,68,145,210,138
2005,78,156,175,107
2006,83,165,158,199
2007,110,119,174,139
2008,126,107,210,177
2009,71,113,247,147
2010,81,99,187,111
2011,59,81,225,99
2012,74,178,249,117
2013,35,105,113,122
2014,99,144,144,104
2015,106,133,208,87
2016,77,113,111,78
