year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-7.2,8.5,13.1,2.4
1988,-1.5,10.0,14.9,-0.5
1989,2.2,11.2,15.5,2.1
1990,1.7,10.6,13.9,2.2
1991,-1.2,8.7,15.3,2.9
1992,0.6,11.4,14.0,0.8
1993,-0.3,10.4,12.4,0.0
1994,0.1,9.4,15.1,5.0
1995,-0.3,9.7,15.3,0.3
1996,-3.8,8.4,14.5,2.6
1997,-0.1,9.0,17.5,2.5
1998,-0.2,9.0,14.4,1.3
1999,-1.6,11.0,16.0,2.9
2000,-0.6,10.4,13.4,5.7
2001,-2.7,9.9,15.4,2.5
2002,-0.3,11.0,16.2,-1.1
2003,-2.5,9.9,15.8,1.8
2004,-1.9,10.1,15.2,2.4
2005,-2.0,9.7,15.2,3.6
2006,-4.6,10.4,17.0,5.4
2007,-0.5,10.9,14.7,2.7
2008,1.4,10.7,14.4,3.0
2009,-2.4,10.4,15.6,1.4
2010,-6.7,10.2,15.9,-2.0
2011,-3.6,12.0,16.0,4.6
2012,-1.2,9.6,14.9,1.3
2013,-4.3,11.0,14.9,4.0
2014,0.9,10.0,15.9,3.7
2015,1.1,9.7,15.2,3.9
2016,-1.7,10.7,15.7,2.5
