year,annual-average-temperature
1987,4.2
1988,5.8
1989,7.8
1990,7.1
1991,6.5
1992,6.7
1993,5.7
1994,7.5
1995,6.3
1996,5.5
1997,7.2
1998,6.1
1999,7.1
2000,7.2
2001,6.3
2002,6.5
2003,6.3
2004,6.5
2005,6.7
2006,7.1
2007,7.0
2008,7.4
2009,6.3
2010,4.4
2011,7.3
2012,6.2
2013,6.5
2014,7.6
2015,7.5
2016,6.8

min,2
max,10
steps,5
decimal,1
