year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,0,0,0,0,0,0.0,0,0,0.0,0
1988,176,312,-379,-211,-75,12.3,2194,47,6.4,27
1989,194,305,-367,-169,-103,11.8,2192,53,11.7,35
1990,191,420,-390,-317,-50,12.2,2232,44,12.6,16
1991,197,278,-351,-192,-108,12.2,2194,55,9.8,20
1992,200,207,-459,-144,-215,11.2,2231,43,11.2,33
1993,270,244,-219,-114,-82,10.5,1861,29,9.5,30
1994,139,135,-421,-101,-79,11.1,1972,40,#DIV/0!,26
1995,206,336,-452,-253,-101,12.3,2288,56,9.9,27
1996,169,417,-352,-250,0,11.4,2015,43,9.1,30
1997,160,321,-447,-248,-135,11.7,2149,43,8.6,26
1998,204,508,-461,-377,-85,11.7,2287,51,12.4,29
1999,262,251,-363,-156,-116,12.4,2399,56,5.4,31
2000,190,184,-415,-130,-171,11.7,2189,48,11.8,35
2001,174,224,-462,-121,-106,11.8,2206,41,10.0,33
2002,183,301,-396,-236,-105,11.5,2133,55,#DIV/0!,35
2003,229,306,-323,-183,-45,11.5,2162,38,11.5,19
2004,304,418,-248,-161,0,11.2,2103,47,10.0,33
2005,178,380,-404,-254,-75,11.8,2237,45,11.8,16
2006,254,340,-325,-199,-134,11.8,2159,46,9.6,24
2007,158,178,-416,-130,-178,12.3,2316,37,9.4,14
2008,214,127,-307,-58,-162,11.4,2040,35,10.6,29
2009,153,254,-405,-182,-6,12.2,2197,46,8.7,19
2010,184,175,-323,-98,-86,11.2,1961,30,8.2,28
2011,87,373,-458,-338,-111,11.7,2138,49,10.3,24
2012,260,378,-254,-179,0,12.1,1996,45,7.5,25
2013,206,304,-378,-205,-51,11.7,2330,43,11.1,29
2014,170,414,-418,-296,-130,12.6,2306,53,11.4,26
2015,150,111,-341,-68,-196,10.8,1914,37,#DIV/0!,33
2016,150,144,-415,-116,-184,11.0,2150,37,9.2,32
2016
2017,0,0,0,0,0,0.0,0,0,0.0,0
2018,233,190,-363,-132,-97,12.5,2446,52,8.7,17
2019,238,316,-333,-166,-83,12.1,2222,49,11.3,26
2020,193,350,-404,-245,-69,13.1,2454,59,12.9,16
2021,168,337,-410,-265,-53,13.0,2296,58,12.5,15
2022,158,350,-492,-226,-190,12.3,2240,41,9.9,17
2023,227,177,-327,-100,-147,12.4,2349,50,7.5,16
2024,276,242,-332,-126,-159,12.7,2247,46,13.1,14
2025,92,349,-547,-291,-40,13.8,2367,51,15.1,9
2026,196,228,-389,-132,-109,12.2,2448,53,8.5,14
2027,139,352,-483,-249,-179,13.1,2454,51,12.3,13
2028,179,348,-476,-234,-121,12.8,2320,44,8.9,14
2029,192,296,-353,-207,-78,12.1,2185,47,9.1,20
2030,259,347,-418,-180,-139,12.8,2501,57,9.4,18
2031,158,318,-556,-230,-188,13.0,2511,62,8.6,26
2032,179,273,-344,-197,-77,13.1,2121,48,13.8,12
2033,266,260,-265,-153,-60,12.4,2198,49,12.4,13
2034,167,274,-369,-207,-76,12.8,2204,51,17.0,14
2035,303,308,-313,-162,-90,13.2,2536,51,11.1,8
2036,184,316,-417,-219,-139,13.8,2494,56,10.5,7
2037,190,261,-345,-174,-84,12.9,2208,45,13.7,16
2038,165,272,-394,-210,-89,12.7,2252,53,9.6,19
2039,175,329,-396,-268,-82,12.5,2355,52,11.7,26
2040,162,177,-380,-131,-109,13.3,2224,50,14.4,18
2041,182,315,-414,-212,-105,12.9,2410,55,8.9,18
2042,112,274,-475,-213,-107,12.9,2312,54,9.6,11
2043,281,335,-309,-151,-115,12.6,2317,52,11.5,18
2044,196,332,-312,-187,-55,12.2,2032,43,13.7,15
2045,210,260,-341,-186,-104,12.0,2239,43,8.6,15
2046,138,391,-494,-317,-82,13.4,2564,63,13.0,14
