year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,4,0,-293,10,0,-541,43,3,13
1988,2,1,-389,10,4,-595,33,13,54
1989,1,0,-408,11,0,-561,38,11,45
1990,3,1,-320,8,0,-536,46,15,28
1991,2,2,-325,10,12,-620,68,20,80
1992,0,0,-263,8,0,-439,61,34,69
1993,0,8,-307,7,2,-515,68,7,15
1994,4,0,-438,8,6,-655,49,7,39
1995,1,6,-362,10,3,-584,47,5,24
1996,2,3,-400,9,2,-612,46,21,26
1997,0,1,-390,7,1,-643,43,2,42
1998,6,1,-390,11,2,-572,36,18,81
1999,5,0,-372,6,0,-623,37,17,16
2000,0,4,-248,8,0,-472,64,20,15
2001,2,0,-274,6,1,-532,53,13,34
2002,0,2,-250,8,0,-491,53,12,79
2003,4,5,-364,9,1,-552,36,12,75
2004,0,0,-327,8,0,-555,42,4,16
2005,4,0,-310,9,0,-536,44,7,82
2006,0,0,-356,9,2,-554,39,3,26
2007,0,4,-267,8,5,-455,54,10,99
2008,0,1,-349,9,1,-545,46,16,9
2009,1,3,-258,9,3,-451,54,6,25
2010,2,1,-413,10,0,-585,37,10,27
2011,2,2,-276,10,4,-479,39,10,55
2012,0,1,-276,9,2,-414,53,28,82
2013,6,4,-391,9,2,-593,37,11,91
2014,2,1,-313,9,0,-518,53,19,12
2015,0,2,-311,7,4,-502,63,22,41
2016,1,4,-345,7,4,-548,34,14,3
2016
2017,3,0,-110,8,7,-535,44,17,31
2018,4,1,-234,7,9,-578,45,15,63
2019,4,0,-392,10,0,-627,31,3,29
2020,4,0,-406,11,14,-685,27,7,12
2021,0,3,-360,7,2,-603,45,4,37
2022,3,0,-339,8,1,-562,37,8,25
2023,7,0,-407,7,12,-659,34,7,77
2024,13,0,-507,10,7,-745,30,8,20
2025,9,0,-362,10,2,-627,39,10,69
2026,2,1,-353,10,0,-571,40,6,5
2027,0,0,-442,6,3,-664,35,10,17
2028,1,0,-326,9,18,-580,41,15,20
2029,4,3,-410,6,8,-665,28,6,34
2030,11,0,-488,7,6,-691,28,6,29
2031,6,3,-309,10,4,-580,44,4,72
2032,7,1,-242,8,11,-558,49,10,54
2033,5,1,-373,9,3,-616,36,7,8
2034,7,0,-246,7,2,-503,35,2,114
2035,0,0,-309,8,5,-528,44,2,39
2036,8,0,-287,6,4,-555,33,2,76
2037,2,0,-343,6,4,-624,38,4,54
2038,1,0,-343,7,7,-546,44,13,19
2039,16,1,-462,10,3,-682,22,11,45
2040,6,0,-406,11,10,-631,34,10,31
2041,2,0,-330,10,10,-596,49,5,37
2042,1,0,-248,9,0,-528,43,19,52
2043,7,2,-280,7,1,-524,40,5,61
2044,1,0,-304,9,2,-524,49,13,36
2045,9,0,-386,9,3,-620,47,19,15
2046,6,0,-301,10,16,-633,48,8,13

min,,,,0,,,0
max,,,,12,,,72
steps,,,,13,,,10
decimals
