year,A1,A2,A3
,label A1,label A2,label A3
1987,111,1654,802
1988,109,1744,828
1989,94,1715,704
1990,106,1353,849
1991,95,1668,781
1992,133,1591,915
1993,96,1815,721
1994,77,1603,657
1995,111,1747,738
1996,132,1484,1029
1997,97,1420,811
1998,109,1449,878
1999,109,1484,851
2000,92,1754,785
2001,112,1682,866
2002,91,1799,711
2003,108,1957,822
2004,115,1903,902
2005,110,1608,763
2006,108,1841,912
2007,107,1752,828
2008,122,1601,1027
2009,119,1587,827
2010,126,2092,956
2011,95,1650,714
2012,112,1741,793
2013,101,1642,788
2014,118,1608,836
2015,127,1715,1035
2016,103,1795,690
2016
2017,109,1398,829
2018,123,1388,958
2019,121,1328,961
2020,97,1574,813
2021,124,1380,1042
2022,136,1422,1047
2023,105,1387,943
2024,109,1471,915
2025,126,1626,1034
2026,123,1525,998
2027,116,1606,986
2028,130,1527,1006
2029,110,1682,957
2030,104,1655,895
2031,132,1333,1063
2032,137,1261,1113
2033,115,1480,1045
2034,124,1230,1024
2035,96,1643,766
2036,119,1343,909
2037,129,1553,966
2038,121,1611,1046
2039,128,1443,1023
2040,131,1401,1026
2041,131,1445,984
2042,106,1641,823
2043,126,1592,919
2044,115,1417,923
2045,113,1500,946
2046,111,1485,928
