year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,12,-382,-503,11
1988,-25,-392,-564,-57
1989,-98,-355,-429,12
1990,-136,-361,-363,55
1991,-4,-182,-315,-54
1992,-130,-197,-478,-38
1993,-69,-330,-510,48
1994,3,-358,-474,77
1995,-42,-376,-381,-7
1996,82,-386,-368,60
1997,-67,-347,-444,8
1998,-20,-267,-490,84
1999,44,-423,-431,76
2000,-68,-420,-509,-50
2001,-104,-311,-412,-78
2002,-70,-343,-270,142
2003,-2,-320,-457,13
2004,-25,-217,-486,-14
2005,-15,-418,-437,0
2006,69,-375,-385,30
2007,-75,-357,-474,105
2008,-120,-406,-412,-19
2009,64,-345,-400,109
2010,-33,-394,-390,59
2011,-29,-352,-413,-33
2012,-17,-309,-451,79
2013,-15,-388,-479,-49
2014,-61,-351,-425,37
2015,-8,-311,-358,0
2016,-1,-394,-349,-47
