year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,7.4,18.0,24.2,12.2
1988,8.8,19.0,24.7,10.5
1989,7.3,18.1,23.5,10.4
1990,7.5,18.8,23.3,12.0
1991,5.8,16.5,22.5,9.6
1992,6.4,17.5,23.1,12.1
1993,5.9,18.6,23.6,12.5
1994,8.3,18.9,24.7,11.4
1995,8.2,18.7,23.4,10.9
1996,6.5,18.4,23.3,11.4
1997,7.2,17.8,23.1,11.1
1998,7.5,19.1,24.4,11.5
1999,7.4,19.6,24.3,12.3
2000,6.5,19.6,24.3,12.5
2001,10.1,18.9,24.9,9.8
2002,8.6,18.7,23.7,11.8
2003,6.5,19.0,24.3,12.3
2004,7.4,18.1,23.8,12.5
2005,7.1,18.8,24.5,11.1
2006,6.8,18.9,23.8,10.9
2007,8.8,19.6,24.9,11.1
2008,8.5,19.8,24.5,12.1
2009,7.7,19.1,24.3,13.1
2010,8.7,19.5,25.4,12.5
2011,7.1,17.6,24.8,9.3
2012,5.7,19.1,25.5,12.0
2013,8.6,20.3,25.0,12.0
2014,9.7,19.2,24.9,12.4
2015,7.5,19.0,25.5,12.6
2016,9.8,20.3,24.7,11.4
