year,annual-hydric-deficit
1987,-861
1988,-1039
1989,-870
1990,-806
1991,-554
1992,-843
1993,-861
1994,-752
1995,-807
1996,-612
1997,-851
1998,-692
1999,-733
2000,-1047
2001,-904
2002,-540
2003,-766
2004,-742
2005,-869
2006,-662
2007,-801
2008,-957
2009,-572
2010,-757
2011,-827
2012,-699
2013,-932
2014,-800
2015,-676
2016,-790
