year,annual-frozen-days
1987,66
1988,29
1989,53
1990,35
1991,63
1992,49
1993,51
1994,35
1995,58
1996,68
1997,60
1998,54
1999,34
2000,24
2001,49
2002,34
2003,64
2004,52
2005,65
2006,65
2007,33
2008,57
2009,55
2010,73
2011,31
2012,46
2013,54
2014,9
2015,35
2016,42
