year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,0,0,-18,3,0,-143,74,12,75
1988,4,0,-81,6,1,-204,73,24,153
1989,8,0,-98,7,1,-226,74,21,96
1990,3,0,-79,5,0,-246,75,11,94
1991,1,6,-196,6,0,-299,74,16,72
1992,5,2,-99,5,1,-312,67,19,115
1993,7,0,-155,4,3,-377,67,17,68
1994,3,1,-66,2,0,-237,84,14,95
1995,17,1,-58,8,0,-217,68,11,68
1996,7,0,-144,7,0,-309,68,25,113
1997,3,1,-130,3,0,-255,65,8,101
1998,5,0,-33,7,0,-138,70,17,139
1999,4,3,-171,5,1,-362,63,15,51
2000,11,0,-154,4,0,-307,53,21,83
2001,4,5,-58,4,1,-204,81,22,45
2002,1,3,-88,3,1,-193,78,23,86
2003,4,3,-53,3,1,-160,72,11,190
2004,1,0,-50,6,0,-159,63,14,104
2005,8,3,-88,6,0,-194,71,2,93
2006,9,6,-85,7,0,-211,68,24,194
2007,1,3,-55,3,0,-139,74,15,116
2008,10,0,-49,2,2,-142,62,8,98
2009,0,2,-103,7,2,-270,78,17,76
2010,5,3,-96,5,1,-224,80,11,38
2011,8,0,-102,3,2,-245,73,7,169
2012,9,1,-77,5,1,-207,71,13,109
2013,2,0,-84,6,0,-146,70,16,171
2014,10,1,-49,6,5,-210,76,20,68
2015,5,1,-66,4,1,-182,75,17,80
2016,3,4,-45,5,0,-166,63,24,99
2016
2017,5,4,-124,4,0,-207,66,4,174
2018,22,2,-176,8,4,-357,48,4,76
2019,10,4,-155,7,1,-318,54,8,74
2020,17,1,-116,6,1,-351,51,19,51
2021,16,1,-149,4,0,-357,58,7,76
2022,19,3,-91,6,1,-279,60,5,72
2023,8,0,-114,6,1,-392,54,8,65
2024,6,0,-131,2,0,-336,70,7,83
2025,6,0,-23,4,0,-202,72,6,119
2026,5,2,-183,5,0,-412,55,11,89
2027,7,4,-40,5,0,-298,70,8,27
2028,16,3,-193,9,1,-344,46,4,42
2029,26,1,-168,4,2,-388,43,10,93
2030,11,1,-122,5,0,-311,65,17,130
2031,12,0,-76,5,0,-272,69,8,41
2032,13,2,-55,4,0,-232,61,9,67
2033,7,3,-23,3,2,-145,70,9,104
2034,2,2,-121,7,0,-306,71,16,75
2035,16,0,-141,7,0,-287,56,12,99
2036,24,1,-54,6,1,-275,48,4,74
2037,17,3,-84,6,0,-234,57,15,59
2038,10,0,-122,7,0,-286,59,9,113
2039,14,2,-102,7,0,-325,53,8,74
2040,20,2,-134,5,0,-269,48,11,117
2041,22,6,-107,10,0,-257,48,14,84
2042,15,1,-138,8,0,-274,45,2,136
2043,13,1,-67,6,1,-280,68,3,98
2044,26,4,-129,8,4,-316,55,13,123
2045,9,0,-57,5,0,-176,54,6,93
2046,20,1,-81,6,3,-295,72,14,126

min,,,,0
max,,,,14
steps,,,,8
decimal
