year,F1,F3,M4
,label F1,label F3,label M4
1987,59,127,1
1988,51,130,0
1989,52,131,2
1990,41,128,1
1991,45,138,2
1992,61,140,2
1993,41,125,2
1994,42,123,2
1995,54,134,4
1996,51,131,2
1997,49,127,0
1998,48,134,2
1999,50,132,4
2000,46,128,0
2001,48,128,0
2002,68,135,1
2003,65,133,0
2004,51,124,2
2005,45,130,3
2006,47,140,1
2007,61,123,0
2008,47,125,1
2009,64,136,2
2010,50,133,3
2011,48,123,2
2012,68,143,2
2013,52,118,1
2014,45,130,2
2015,41,132,1
2016,31,130,2
2016
2017,30,140,1
2018,46,130,6
2019,46,132,2
2020,26,122,6
2021,50,124,3
2022,43,131,2
2023,30,115,5
2024,43,141,1
2025,31,131,2
2026,35,130,4
2027,33,138,3
2028,36,131,6
2029,24,115,2
2030,46,116,4
2031,47,116,5
2032,30,121,2
2033,38,129,1
2034,31,126,3
2035,37,120,3
2036,45,132,4
2037,30,131,2
2038,57,132,5
2039,63,131,4
2040,51,120,2
2041,35,135,4
2042,39,124,3
2043,48,134,4
2044,28,127,5
2045,41,122,2
2046,66,147,3

min,,80,0
max,,170,7
steps,,10,8
decimal
