year,annual-precipitations
1987,857
1988,922
1989,524
1990,631
1991,704
1992,811
1993,745
1994,636
1995,663
1996,388
1997,503
1998,640
1999,737
2000,777
2001,688
2002,680
2003,492
2004,580
2005,505
2006,578
2007,720
2008,570
2009,533
2010,533
2011,551
2012,601
2013,488
2014,648
2015,491
2016,552
