year,annual-frozen-days
1987,72
1988,37
1989,50
1990,39
1991,57
1992,29
1993,41
1994,27
1995,42
1996,60
1997,39
1998,45
1999,32
2000,27
2001,45
2002,20
2003,46
2004,42
2005,48
2006,51
2007,26
2008,46
2009,45
2010,71
2011,22
2012,35
2013,46
2014,13
2015,27
2016,39
