year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,160,265,218,214
1988,343,163,202,214
1989,158,142,90,135
1990,196,164,89,182
1991,160,150,146,249
1992,74,185,239,313
1993,83,205,184,274
1994,157,163,185,133
1995,268,109,215,72
1996,88,73,74,153
1997,66,203,70,164
1998,86,181,139,234
1999,121,166,218,232
2000,95,190,180,313
2001,236,100,198,154
2002,170,134,125,251
2003,109,140,65,178
2004,128,135,154,162
2005,98,142,130,135
2006,181,138,121,138
2007,161,169,205,185
2008,168,148,85,169
2009,104,168,86,174
2010,138,84,137,175
2011,101,64,206,179
2012,69,198,98,235
2013,92,116,117,164
2014,148,165,191,144
2015,124,78,153,136
2016,204,188,55,105
