year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,linseed-oild,spring-field-peas,broad-bean,sugar-beet,potatoes,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,82,74,71,88,30,20,49,49,650,300,115,90,62,150
2001,73,73,70,88,32,30,37,35,595,300,130,90,64,150
2002,87,78,80,88,37,30,52,50,766,355,129,90,65,150
2003,77,62,70,70,33,30,49,37,780,347,125,85,65,150
2004,86,77,72,80,37,30,51,45,750,392,125,80,60,150
2005,79,75,72,80,38,30,48,45,700,409,130,80,60,150
2006,77,71,65,90,30,30,47,40,820,419,144,79,58,188
2007,76,71,61,93,32,30,41,55,820,444,137,110,73,256
2008,91,90,68,92,41,30,50,55,880,415,145,78,52,220
2009,91,83,63,92,43,30,53,53,951,388,147,112,46,220
2010,84,77,70,85,37,30,49,27,780,425,136,66,40,211
2011,79,67,70,96,42,30,46,42,927,450,137,53,52,210
2012,87,85,39,84,39,30,48,52,840,385,141,53,52,150
2013,86,79,24,87,34,30,41,32,784,407,143,90,46,300
2014,86,83,36,92,35,30,41,46,911,432,151,138,88,200
2015,93,87,42,80,40,35,44,33,938,475,137,75,53,300
2016,67,66,30,61,34,32,32,40,840,340,128,72,49,270
2017,85,76,40,84,40,35,38,30,1025,440,142,73,52,200
