year,A1,A2,A3
,label A1,label A2,label A3
1987,3,2541,38
1988,2,2770,36
1989,9,2621,71
1990,6,2437,57
1991,2,2709,28
1992,30,2764,170
1993,12,2451,115
1994,1,2514,24
1995,20,2666,109
1996,1,2717,36
1997,2,2426,43
1998,7,2679,47
1999,8,2618,82
2000,6,2438,95
2001,9,2599,73
2002,6,2800,63
2003,7,2542,57
2004,1,2492,21
2005,8,2497,70
2006,13,2851,88
2007,2,2635,32
2008,9,2510,66
2009,16,2567,98
2010,11,2627,89
2011,13,2412,111
2012,13,2828,100
2013,11,2365,90
2014,25,2680,161
2015,11,2517,98
2016,4,2674,51
2016
2017,11,2462,86
2018,23,2294,174
2019,20,2467,152
2020,18,2283,132
2021,11,2340,101
2022,20,2451,135
2023,8,2132,102
2024,4,2480,71
2025,14,2351,78
2026,12,2320,110
2027,14,2473,115
2028,31,2274,190
2029,27,2224,208
2030,8,2373,100
2031,20,2174,137
2032,20,2327,134
2033,17,2326,112
2034,3,2398,47
2035,14,2341,125
2036,37,2307,224
2037,15,2492,110
2038,19,2464,121
2039,14,2491,105
2040,15,2222,114
2041,30,2456,181
2042,16,2293,136
2043,21,2471,141
2044,29,2294,203
2045,6,2204,55
2046,30,2855,178

min,,1800
max,,3400
steps,,9
decimal
