year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1266,12,-196,0
1988,1137,12,-178,4
1989,1275,12,-254,5
1990,1198,9,-259,1
1991,1152,11,-437,0
1992,1423,12,-305,6
1993,1336,10,-465,2
1994,1102,11,-282,2
1995,1194,10,-257,2
1996,1115,10,-385,3
1997,1239,10,-335,1
1998,1145,10,-171,4
1999,1354,13,-487,3
2000,1475,12,-400,1
2001,1066,8,-264,3
2002,1202,11,-245,3
2003,1231,12,-131,6
2004,1165,10,-194,0
2005,1209,10,-222,1
2006,1360,12,-206,2
2007,1144,10,-191,0
2008,1313,11,-171,2
2009,1168,11,-330,8
2010,1290,11,-318,7
2011,1412,12,-174,2
2012,1269,10,-247,2
2013,1354,12,-120,0
2014,1443,13,-303,5
2015,1320,12,-260,5
2016,1220,11,-218,1
2016
2017,1417,14,-200,3
2018,1635,11,-431,0
2019,1577,13,-390,2
2020,1602,13,-445,1
2021,1502,13,-444,3
2022,1401,11,-286,7
2023,1532,11,-510,1
2024,1342,13,-435,7
2025,1261,12,-172,0
2026,1542,14,-465,0
2027,1354,12,-386,3
2028,1569,10,-390,6
2029,1703,13,-504,2
2030,1446,11,-351,0
2031,1644,13,-378,0
2032,1551,12,-292,0
2033,1455,10,-175,1
2034,1256,12,-353,0
2035,1444,12,-324,0
2036,1728,11,-317,2
2037,1491,13,-321,6
2038,1410,11,-306,3
2039,1533,11,-387,2
2040,1559,11,-279,0
2041,1567,12,-338,1
2042,1653,13,-314,0
2043,1495,12,-319,3
2044,1666,13,-331,4
2045,1401,12,-250,0
2046,1369,11,-257,5

min,1000,6
max,2500,16
steps,7,11
decimal
