year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,187,165,238,149
1988,247,107,161,159
1989,105,104,170,137
1990,86,150,135,107
1991,96,175,105,220
1992,159,135,169,237
1993,130,172,250,220
1994,219,164,190,164
1995,220,143,140,92
1996,65,106,152,199
1997,130,162,173,131
1998,125,170,150,240
1999,134,121,196,123
2000,179,95,171,90
2001,151,175,194,153
2002,153,176,272,250
2003,109,111,137,163
2004,157,170,212,137
2005,133,114,190,141
2006,108,168,158,130
2007,217,223,274,203
2008,225,101,223,123
2009,141,94,135,270
2010,123,84,298,150
2011,96,154,165,156
2012,132,142,184,179
2013,101,212,122,151
2014,67,214,173,145
2015,125,89,242,185
2016,131,208,123,144
