year,annual-frozen-days
1987,83
1988,54
1989,53
1990,40
1991,79
1992,44
1993,69
1994,43
1995,65
1996,102
1997,62
1998,50
1999,47
2000,33
2001,72
2002,53
2003,86
2004,58
2005,66
2006,69
2007,28
2008,38
2009,60
2010,93
2011,52
2012,51
2013,74
2014,38
2015,38
2016,54
