year,annual-precipitations
1987,739
1988,673
1989,516
1990,477
1991,595
1992,699
1993,772
1994,737
1995,594
1996,523
1997,596
1998,685
1999,574
2000,535
2001,673
2002,851
2003,520
2004,676
2005,578
2006,563
2007,917
2008,671
2009,640
2010,655
2011,570
2012,637
2013,586
2014,599
2015,641
2016,605
