year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,6,19,-38,5,0,-165,59,36,104
1988,7,9,28,2,0,-85,75,22,97
1989,24,4,-118,2,8,-241,58,15,76
1990,3,1,-82,2,0,-144,62,35,96
1991,10,11,-163,5,4,-301,46,27,140
1992,24,11,-114,4,7,-212,55,35,93
1993,12,5,-142,3,4,-369,67,28,71
1994,4,5,-114,2,0,-254,58,30,87
1995,11,2,-26,5,0,-166,42,27,83
1996,13,6,-125,4,2,-323,50,27,76
1997,9,0,-154,5,4,-363,51,35,63
1998,5,1,-132,6,0,-218,61,33,93
1999,11,6,-158,2,3,-340,58,35,76
2000,15,3,-142,2,0,-242,51,11,136
2001,3,13,-48,3,0,-195,61,17,80
2002,28,7,-89,2,4,-225,42,18,78
2003,2,0,-71,4,0,-187,78,20,73
2004,10,9,-93,4,1,-218,65,39,91
2005,13,8,-63,2,5,-154,56,25,80
2006,3,2,-129,2,0,-210,62,24,78
2007,5,2,-55,4,0,-187,65,39,86
2008,2,5,-85,3,0,-218,71,28,72
2009,4,9,-23,3,0,-104,84,20,126
2010,16,5,-120,3,1,-225,64,26,99
2011,10,6,-144,7,1,-276,47,29,74
2012,5,11,-109,4,3,-260,59,43,102
2013,12,0,-61,4,1,-195,55,27,97
2014,11,9,-135,5,0,-292,69,29,83
2015,5,0,-142,5,0,-222,65,19,118
2016,9,9,-36,3,2,-192,67,42,83
2016
2017,15,8,-84,2,1,-218,62,10,97
2018,16,10,-56,2,3,-144,61,16,129
2019,17,4,-124,2,0,-279,45,29,48
2020,11,14,-89,2,0,-253,66,10,50
2021,18,14,-101,2,5,-257,55,14,74
2022,4,17,-93,3,1,-182,68,18,81
2023,28,5,-133,3,3,-343,54,6,42
2024,30,7,-149,3,4,-323,37,26,113
2025,15,7,-58,0,2,-187,54,13,66
2026,17,9,-115,2,1,-269,42,18,110
2027,14,6,-75,3,1,-195,60,19,87
2028,15,1,-68,3,1,-177,55,17,76
2029,7,6,-70,1,0,-286,72,16,63
2030,6,10,-86,5,0,-261,69,16,34
2031,15,10,-67,3,5,-210,49,11,80
2032,31,5,-67,3,7,-163,51,17,99
2033,11,2,-109,5,2,-188,66,19,136
2034,16,8,-3,2,3,-130,60,27,97
2035,17,5,-27,1,1,-133,55,17,81
2036,18,10,-86,2,4,-203,46,15,90
2037,27,10,-86,2,2,-178,37,16,115
2038,10,9,-107,2,1,-245,57,26,57
2039,19,5,-74,1,4,-201,58,10,67
2040,20,7,-32,1,2,-149,57,32,61
2041,25,4,-101,1,0,-181,38,8,80
2042,14,2,-83,2,2,-180,65,18,140
2043,8,9,-55,2,0,-90,58,23,162
2044,14,9,-111,3,1,-238,64,22,129
2045,13,3,-86,3,2,-242,54,8,40
2046,17,16,-114,3,6,-272,46,12,61
