year,A1,A2,A3
,label A1,label A2,label A3
1987,1,3096,41
1988,4,2884,28
1989,28,2876,162
1990,1,2894,18
1991,13,2862,111
1992,23,3289,174
1993,13,3092,130
1994,8,2925,86
1995,10,2895,76
1996,25,2880,171
1997,19,2855,184
1998,9,2909,86
1999,9,3124,88
2000,13,2816,123
2001,9,2959,75
2002,26,3140,175
2003,7,2673,73
2004,6,3142,68
2005,17,2877,120
2006,3,2911,26
2007,5,3046,41
2008,5,2987,47
2009,11,2960,76
2010,10,2980,66
2011,4,2806,54
2012,18,3247,114
2013,7,2896,79
2014,14,3125,94
2015,5,2759,50
2016,17,3340,108
2016
2017,15,2539,99
2018,18,2929,120
2019,12,2749,102
2020,18,2749,123
2021,20,2770,160
2022,8,2851,72
2023,38,2720,245
2024,18,2701,156
2025,21,2591,128
2026,8,2554,115
2027,9,2736,104
2028,17,2794,105
2029,13,2677,108
2030,3,2637,60
2031,33,2642,183
2032,29,2723,198
2033,21,2787,121
2034,13,2888,110
2035,14,2593,100
2036,32,2641,189
2037,18,2878,124
2038,7,2719,65
2039,22,2642,157
2040,16,2842,129
2041,25,2558,156
2042,15,2640,118
2043,8,2914,57
2044,12,2911,106
2045,9,2487,93
2046,22,2910,167
