year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,640,554,-79,-208,97,8.7,3331,16,15.7,96
1988,621,527,-83,-138,21,9.3,3465,13,15.6,61
1989,558,553,-168,-267,59,9.5,3580,34,15.6,79
1990,742,531,46,-181,132,9.0,3437,5,14.7,78
1991,601,673,-291,-347,43,9.7,3650,25,16.7,78
1992,606,573,-124,-236,72,8.7,3407,38,17.4,101
1993,509,717,-439,-451,-24,9.3,3540,30,17.9,87
1994,560,658,-344,-313,-28,9.5,3564,20,17.0,73
1995,640,583,-104,-219,97,9.5,3647,29,16.1,77
1996,593,769,-427,-488,12,10.3,3839,52,18.8,79
1997,616,712,-343,-434,3,10.2,3748,39,18.2,70
1998,578,535,-122,-294,76,9.7,3612,21,17.4,87
1999,596,688,-373,-419,48,8.7,3317,21,15.7,85
2000,706,654,-187,-277,71,10.1,3729,36,17.1,58
2001,565,530,-133,-239,54,9.4,3495,24,16.3,71
2002,575,590,-182,-263,27,9.3,3585,49,17.1,93
2003,579,534,-135,-267,106,10.1,3750,25,17.2,40
2004,618,589,-142,-286,96,9.0,3380,25,16.8,101
2005,599,561,-128,-184,18,9.7,3713,30,16.6,64
2006,606,537,-94,-235,70,9.0,3396,9,15.0,67
2007,642,532,-59,-237,70,8.9,3416,12,16.0,84
2008,616,546,-93,-260,86,9.0,3430,17,16.1,73
2009,728,542,30,-141,112,9.1,3431,20,16.8,72
2010,626,551,-96,-259,65,9.3,3500,22,15.9,73
2011,526,578,-227,-326,34,9.8,3678,20,16.4,82
2012,706,570,-11,-242,130,8.8,3445,28,17.4,108
2013,709,563,-15,-227,119,9.6,3671,24,16.5,79
2014,541,528,-152,-340,107,8.8,3303,26,16.6,89
2015,625,539,-83,-229,86,9.8,3624,15,16.2,52
2016,703,574,-14,-205,106,8.5,3319,29,17.7,119
2016
2017,574,555,-157,-250,43,10.6,3911,29,17.3,46
2018,720,560,-5,-153,61,9.7,3587,34,17.1,71
2019,571,567,-173,-351,119,10.2,3730,30,16.9,74
2020,554,580,-186,-330,75,10.0,3701,36,17.7,71
2021,654,675,-254,-334,48,10.1,3727,33,17.8,72
2022,638,544,-76,-227,78,9.4,3517,23,16.6,70
2023,630,731,-386,-471,53,10.9,4029,55,19.1,64
2024,636,733,-332,-388,45,10.6,3944,45,17.1,64
2025,646,560,-96,-223,80,10.7,3930,40,17.8,53
2026,606,717,-391,-343,-52,10.9,4013,29,17.5,72
2027,731,653,-179,-258,16,10.2,3767,30,17.1,60
2028,638,572,-107,-216,58,10.0,3734,31,17.1,71
2029,736,664,-214,-336,74,10.0,3704,25,17.1,50
2030,608,661,-299,-376,74,10.2,3790,21,17.1,62
2031,627,559,-96,-244,81,10.6,3955,43,18.4,54
2032,627,578,-120,-193,69,10.7,3963,43,17.2,67
2033,630,541,-79,-167,68,9.8,3617,28,16.8,66
2034,732,577,-30,-186,115,9.3,3511,32,16.5,94
2035,643,586,-121,-195,60,10.7,3944,30,17.2,50
2036,703,584,-60,-246,112,10.7,3949,43,17.2,67
2037,757,592,-2,-197,122,9.8,3694,35,16.4,71
2038,650,585,-106,-315,73,10.0,3728,25,16.9,67
2039,618,605,-166,-291,88,10.6,3961,40,18.5,61
2040,579,583,-180,-241,51,9.9,3706,35,17.4,80
2041,802,600,31,-275,217,11.0,4083,43,17.3,53
2042,675,559,-67,-219,96,10.4,3811,34,17.8,55
2043,717,547,5,-139,105,9.2,3492,20,16.2,76
2044,649,546,-63,-261,71,9.4,3510,26,16.6,85
2045,611,594,-161,-318,103,10.8,4024,27,17.4,55
2046,636,615,-132,-352,129,10.0,3794,43,17.9,73
