year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,78,17,-97,102
1988,259,-153,-96,156
1989,18,-115,-213,137
1990,21,-122,-122,112
1991,-7,-153,-92,62
1992,54,-182,-192,135
1993,-57,-177,-113,97
1994,22,-170,-216,29
1995,96,-88,-13,92
1996,-16,-82,-33,165
1997,71,-80,-167,95
1998,-39,-72,-151,82
1999,93,-106,-95,146
2000,29,-100,-59,79
2001,95,-136,-132,82
2002,-5,-90,-34,157
2003,-30,-193,-275,60
2004,30,-186,-89,156
2005,126,-99,-149,79
2006,93,-71,-229,108
2007,115,-156,-98,50
2008,83,-113,-118,89
2009,69,-90,-104,164
2010,36,-145,-68,199
2011,-3,-238,15,102
2012,15,-137,-113,196
2013,20,37,-84,181
2014,-23,-173,38,100
2015,-2,-174,-236,53
2016,183,-2,-192,42
