year,A1,A2,A3
,label A1,label A2,label A3
1987,25,3186,165
1988,11,3029,88
1989,13,2855,112
1990,23,3012,198
1991,13,2832,147
1992,20,2817,159
1993,21,2713,194
1994,27,2771,229
1995,23,3160,193
1996,7,2627,61
1997,5,3136,97
1998,21,2574,176
1999,30,2829,185
2000,35,3130,210
2001,31,2700,283
2002,37,2724,211
2003,16,2805,137
2004,24,2935,161
2005,10,2624,89
2006,21,2718,156
2007,19,2805,161
2008,22,2732,142
2009,40,2884,282
2010,19,2935,132
2011,23,3196,166
2012,17,2935,155
2013,25,3040,157
2014,39,2798,288
2015,11,2966,97
2016,20,2684,158
2016
2017,44,2527,308
2018,41,2790,258
2019,31,2544,241
2020,35,2119,227
2021,27,2679,230
2022,38,2367,255
2023,28,2562,214
2024,46,2539,332
2025,37,2551,251
2026,18,2755,163
2027,23,2654,198
2028,59,2888,353
2029,19,2510,215
2030,39,2611,282
2031,34,2773,207
2032,16,2364,134
2033,25,2623,193
2034,23,2671,188
2035,32,2732,268
2036,18,2646,157
2037,22,2423,183
2038,19,2705,152
2039,40,2659,258
2040,30,2587,237
2041,39,2961,301
2042,12,2544,131
2043,44,2572,265
2044,59,2440,372
2045,25,2489,190
2046,27,2465,190

min,,2000
max,,4000
steps,,9
decimal
