year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,67,143,0
1988,73,136,0
1989,64,120,1
1990,63,129,0
1991,68,136,0
1992,73,138,0
1993,60,124,0
1994,76,123,1
1995,95,143,0
1996,40,118,0
1997,80,133,0
1998,47,110,0
1999,71,126,0
2000,80,137,0
2001,53,119,2
2002,71,122,0
2003,72,129,0
2004,62,125,0
2005,23,128,1
2006,57,115,1
2007,50,125,0
2008,59,123,0
2009,70,131,0
2010,76,141,2
2011,82,138,0
2012,72,129,0
2013,65,137,0
2014,49,121,1
2015,64,134,1
2016,59,115,0
2016
2017,56,132,0
2018,66,140,0
2019,57,130,1
2020,28,122,0
2021,56,139,1
2022,50,124,1
2023,45,133,0
2024,59,120,0
2025,44,133,0
2026,36,135,0
2027,73,133,0
2028,83,133,0
2029,59,125,1
2030,62,124,0
2031,61,138,0
2032,53,126,1
2033,28,143,0
2034,64,121,0
2035,67,132,1
2036,68,132,0
2037,52,130,0
2038,46,135,0
2039,51,131,0
2040,69,127,1
2041,62,136,0
2042,50,115,1
2043,32,129,1
2044,45,122,0
2045,35,120,0
2046,63,129,0
