year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.1,12.9,18.6,6.6
1988,4.7,14.3,18.1,6.6
1989,5.5,13.9,18.8,6.3
1990,5.7,13.2,17.1,6.0
1991,2.7,11.4,19.0,4.8
1992,4.0,14.4,19.4,6.1
1993,3.6,15.4,17.3,5.5
1994,4.9,14.1,19.2,7.7
1995,4.2,13.2,18.0,6.1
1996,1.1,13.1,16.3,5.4
1997,3.9,13.3,18.7,6.1
1998,5.1,14.8,17.5,5.2
1999,4.2,14.5,19.4,5.9
2000,5.1,15.4,17.7,8.0
2001,5.0,13.9,18.1,6.5
2002,5.0,14.7,17.8,7.5
2003,3.2,16.2,20.2,5.9
2004,3.1,13.6,18.4,6.1
2005,3.0,14.6,18.3,6.6
2006,1.4,14.4,19.8,8.9
2007,6.3,16.0,17.2,5.6
2008,5.3,15.0,17.6,6.1
2009,2.0,15.3,18.8,6.9
2010,2.3,13.9,17.8,4.8
2011,4.4,15.7,18.2,7.2
2012,3.6,14.5,18.4,6.7
2013,1.8,13.2,18.6,7.1
2014,6.2,14.9,18.3,8.5
2015,3.8,14.2,19.5,8.4
2016,4.6,13.9,19.5,5.8
