year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1453,10,-135,11
1988,1298,10,-281,10
1989,1529,10,-135,1
1990,1510,9,-139,1
1991,1690,10,-202,1
1992,1465,11,-166,2
1993,1652,10,-318,1
1994,1791,12,-346,0
1995,1664,11,-272,4
1996,1520,10,-391,0
1997,1455,8,-289,3
1998,1889,12,-178,0
1999,1653,12,-162,2
2000,1657,10,-157,2
2001,1694,12,-485,1
2002,1556,8,-173,1
2003,1724,11,-218,0
2004,1728,11,-177,4
2005,1354,11,-129,2
2006,1595,9,-227,0
2007,1647,10,-306,0
2008,1655,8,-171,0
2009,1929,12,-285,3
2010,1283,9,-272,4
2011,1557,8,-227,4
2012,1683,12,-218,2
2013,1474,8,-224,9
2014,1785,10,-246,6
2015,1445,10,-262,2
2016,1736,9,-246,1
2016
2017,1914,12,-283,3
2018,1689,12,-216,20
2019,1793,13,-266,2
2020,1700,10,-115,0
2021,1672,12,-245,8
2022,1824,12,-149,0
2023,1638,11,-309,5
2024,1902,11,-393,1
2025,1902,13,-208,3
2026,1610,10,-361,5
2027,1793,12,-311,3
2028,2108,13,-345,1
2029,1760,13,-231,6
2030,1893,10,-305,0
2031,1597,10,-214,5
2032,1603,12,-316,1
2033,1646,11,-187,5
2034,1657,11,-208,5
2035,1858,13,-238,1
2036,1569,11,-201,4
2037,1682,11,-249,3
2038,1582,10,-128,3
2039,1756,12,-246,5
2040,1937,12,-347,1
2041,1704,11,-266,3
2042,1584,9,-266,1
2043,1814,11,-295,4
2044,2019,11,-243,0
2045,1847,10,-356,0
2046,1539,10,-73,6

min,,4
max,,17
steps,,8
decimal
