year,annual-frozen-days
1987,49
1988,29
1989,42
1990,37
1991,52
1992,25
1993,39
1994,16
1995,38
1996,38
1997,44
1998,48
1999,32
2000,27
2001,40
2002,14
2003,46
2004,44
2005,61
2006,58
2007,35
2008,36
2009,44
2010,65
2011,30
2012,57
2013,37
2014,9
2015,35
2016,24
