year,F1,F3,M4
,label F1,label F3,label M4
1987,32,115,2
1988,31,116,1
1989,42,109,3
1990,36,116,3
1991,41,116,4
1992,30,106,1
1993,37,110,4
1994,37,118,3
1995,51,126,3
1996,44,124,4
1997,34,104,6
1998,56,118,5
1999,29,113,5
2000,35,121,2
2001,35,105,5
2002,47,118,2
2003,19,118,4
2004,36,117,4
2005,43,107,4
2006,42,119,3
2007,38,112,2
2008,31,116,2
2009,41,103,3
2010,52,125,3
2011,34,116,4
2012,46,111,3
2013,51,121,4
2014,22,111,3
2015,54,110,5
2016,52,109,2
2016
2017,41,112,5
2018,30,106,2
2019,35,111,5
2020,31,114,3
2021,41,117,6
2022,27,105,5
2023,22,116,4
2024,43,114,3
2025,23,101,5
2026,41,108,5
2027,32,117,2
2028,42,112,4
2029,26,116,4
2030,34,109,6
2031,25,112,3
2032,30,109,4
2033,23,111,5
2034,33,106,7
2035,24,111,7
2036,32,103,3
2037,14,106,3
2038,26,113,2
2039,33,108,6
2040,19,113,5
2041,36,130,5
2042,35,102,4
2043,46,123,3
2044,26,114,6
2045,30,111,6
2046,32,120,3
