year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,64,61,55,87,50,31,25,35,39,40,102,130,81,63
2001,55,50,55,90,50,30,24,35,35,35,111,135,75,57
2002,66,63,60,93,55,31,23,35,40,35,112,150,73,57
2003,55,55,51,80,50,33,23,30,40,30,102,100,62,51
2004,62,62,52,95,60,33,24,30,32,32,130,140,114,86
2005,57,65,55,63,45,37,21,20,38,28,120,100,92,67
2006,60,61,53,85,50,31,23,27,31,25,115,107,105,76
2007,55,47,51,102,60,25,26,25,29,25,85,137,139,101
2008,61,55,52,82,60,27,23,25,42,30,84,116,138,101
2009,61,57,58,87,55,29,25,25,47,30,104,97,96,69
2010,56,45,52,82,39,17,22,23,32,25,109,74,68,52
2011,42,38,37,76,45,24,19,20,20,15,116,78,51,38
2012,66,67,56,74,50,34,21,25,38,27,95,82,91,64
2013,64,61,54,80,50,30,18,24,37,27,100,118,114,86
2014,61,58,57,102,65,37,24,30,35,32,110,118,119,88
2015,66,61,64,81,45,34,20,21,34,22,122,86,85,70
2016,58,59,48,71,40,33,19,20,32,20,94,70,72,60
2017,60,51,51,99,49,32,30,25,33,23,77,110,84,70
