year,annual-average-temperature
1987,13.0
1988,13.4
1989,14.1
1990,14.0
1991,13.1
1992,13.3
1993,13.1
1994,14.3
1995,13.6
1996,13.1
1997,14.4
1998,13.5
1999,13.7
2000,13.9
2001,13.6
2002,13.8
2003,14.7
2004,13.3
2005,13.1
2006,14.2
2007,13.2
2008,13.3
2009,14.0
2010,12.7
2011,14.5
2012,13.6
2013,12.9
2014,14.2
2015,14.0
2016,13.9

min,10
max,16
steps,7
decimal


