year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,73,174,330,101
1988,154,64,105,100
1989,55,92,149,100
1990,106,219,151,102
1991,52,153,67,115
1992,129,65,126,104
1993,100,194,195,137
1994,167,122,125,115
1995,156,185,209,83
1996,37,162,266,90
1997,81,179,189,91
1998,151,181,185,175
1999,116,191,127,136
2000,145,109,238,84
2001,106,156,214,119
2002,168,143,173,164
2003,44,88,162,101
2004,111,113,170,132
2005,119,144,123,122
2006,91,153,153,132
2007,180,216,267,101
2008,136,136,160,151
2009,110,147,183,193
2010,101,123,293,204
2011,84,104,313,138
2012,112,106,205,107
2013,112,221,133,123
2014,66,162,256,120
2015,107,112,109,116
2016,98,105,110,156
