year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,16,-87,72,36
1988,77,-233,-172,31
1989,-27,-222,-150,42
1990,11,-71,-130,41
1991,-22,-96,-213,60
1992,61,-277,-186,51
1993,31,-124,-62,88
1994,103,-149,-177,58
1995,84,-71,-79,39
1996,-12,-83,30,42
1997,11,-89,-85,44
1998,83,-91,-52,132
1999,59,-65,-163,91
2000,83,-198,23,37
2001,52,-90,-32,71
2002,100,-119,-99,121
2003,-17,-230,-121,52
2004,47,-153,-103,77
2005,54,-137,-154,63
2006,42,-134,-166,69
2007,99,-82,16,55
2008,60,-170,-112,101
2009,60,-146,-112,145
2010,45,-136,16,155
2011,18,-219,62,83
2012,41,-179,-60,56
2013,59,-61,-153,61
2014,-14,-109,-41,67
2015,27,-168,-223,52
2016,31,-210,-180,110
