year,A1,A2,A3
,label A1,label A2,label A3
1987,9,3346,88
1988,11,3129,73
1989,12,3363,89
1990,9,3311,75
1991,6,3250,57
1992,10,3415,83
1993,10,2945,143
1994,4,3545,56
1995,25,3278,152
1996,1,3373,25
1997,10,3135,97
1998,12,3349,92
1999,13,2931,120
2000,13,3149,110
2001,14,2996,88
2002,1,3394,29
2003,7,3226,40
2004,3,2983,41
2005,16,3402,104
2006,13,2870,105
2007,16,3186,106
2008,5,3272,57
2009,2,3253,37
2010,11,3142,86
2011,12,3208,88
2012,16,3232,95
2013,5,3368,90
2014,12,3174,99
2015,18,3325,117
2016,23,3027,143
2016
2017,25,2960,163
2018,16,2939,108
2019,14,3109,111
2020,13,2951,97
2021,11,2930,91
2022,33,2741,175
2023,16,3159,141
2024,22,2731,188
2025,9,2857,98
2026,29,2899,214
2027,23,3064,192
2028,28,2882,156
2029,18,3117,179
2030,8,2912,80
2031,36,2828,198
2032,12,2649,78
2033,11,3008,92
2034,6,2765,91
2035,17,2942,115
2036,30,2734,189
2037,18,2909,105
2038,28,2741,187
2039,25,3078,177
2040,9,3319,83
2041,20,2937,134
2042,22,2731,133
2043,12,3008,96
2044,11,3076,74
2045,8,3013,74
2046,20,3020,115
