year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1135,12,-276,18
1988,1267,10,-271,4
1989,1210,11,-222,12
1990,1260,11,-268,9
1991,1123,8,-428,9
1992,1402,9,-303,0
1993,1426,9,-465,7
1994,1198,10,-447,7
1995,1412,11,-343,9
1996,1148,9,-403,5
1997,1472,9,-501,4
1998,1256,9,-182,10
1999,1318,10,-437,7
2000,1399,10,-340,5
2001,1255,10,-259,2
2002,1089,11,-209,6
2003,1187,10,-324,4
2004,1351,11,-237,1
2005,1431,11,-333,4
2006,1442,9,-276,10
2007,1152,9,-316,14
2008,1285,11,-174,4
2009,1223,12,-237,9
2010,1261,10,-236,3
2011,1300,10,-375,8
2012,1341,11,-327,9
2013,1339,10,-285,5
2014,1341,9,-137,5
2015,1189,10,-272,18
2016,1340,9,-353,4
2016
2017,1595,10,-346,0
2018,1439,10,-255,1
2019,1298,11,-208,2
2020,1421,10,-282,3
2021,1453,10,-404,3
2022,1579,12,-298,1
2023,1265,10,-377,2
2024,1692,11,-432,1
2025,1535,12,-369,8
2026,1591,11,-475,3
2027,1533,10,-495,8
2028,1478,12,-354,7
2029,1604,11,-416,1
2030,1264,10,-348,11
2031,1662,11,-396,2
2032,1328,12,-307,5
2033,1384,10,-355,3
2034,1411,12,-391,5
2035,1293,9,-306,11
2036,1642,10,-306,8
2037,1417,9,-328,3
2038,1587,10,-355,6
2039,1467,11,-247,12
2040,1363,10,-265,5
2041,1528,12,-300,0
2042,1546,11,-327,0
2043,1504,11,-425,4
2044,1193,9,-268,9
2045,1157,9,-180,2
2046,1311,12,-191,1
