year,annual-precipitations
1987,678
1988,423
1989,397
1990,579
1991,387
1992,423
1993,627
1994,529
1995,631
1996,555
1997,541
1998,693
1999,571
2000,575
2001,595
2002,648
2003,396
2004,526
2005,507
2006,529
2007,764
2008,584
2009,634
2010,722
2011,640
2012,530
2013,590
2014,604
2015,444
2016,468

min,300
max,2000
steps,10
decimal
