year,A1,A2,A3
,label A1,label A2,label A3
1987,18,3228,122
1988,6,3293,68
1989,1,3378,24
1990,16,3385,87
1991,0,3131,10
1992,11,3352,80
1993,9,3272,65
1994,12,3100,115
1995,9,3033,97
1996,16,2888,115
1997,15,3337,109
1998,13,3055,90
1999,13,3228,131
2000,3,3267,41
2001,15,3218,116
2002,20,3320,110
2003,9,3002,60
2004,18,3193,128
2005,4,3200,28
2006,14,3310,100
2007,3,3447,41
2008,7,3172,60
2009,28,2996,169
2010,9,3280,78
2011,5,2967,51
2012,2,3195,41
2013,6,3263,51
2014,6,3140,47
2015,13,2999,78
2016,7,3172,62
2016
2017,29,3047,195
2018,19,3192,118
2019,32,3160,263
2020,19,2942,133
2021,41,3078,289
2022,19,2719,106
2023,22,3031,168
2024,22,2712,186
2025,22,2861,169
2026,31,2938,212
2027,15,2740,163
2028,15,2812,121
2029,9,2827,112
2030,20,2945,184
2031,23,2504,125
2032,31,2993,194
2033,6,2911,58
2034,5,3014,60
2035,17,2531,123
2036,13,3164,106
2037,43,2776,277
2038,27,2939,185
2039,29,2984,188
2040,36,2730,245
2041,23,2839,187
2042,33,2579,182
2043,20,3101,125
2044,40,2957,264
2045,26,2916,187
2046,9,2959,91

min,,2000
max,,4000
steps,,9
decimal
