year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,82,138,0
1988,82,140,0
1989,88,141,0
1990,77,137,0
1991,86,145,0
1992,80,135,0
1993,77,144,0
1994,80,137,0
1995,68,141,0
1996,60,134,0
1997,78,151,0
1998,70,133,0
1999,87,136,0
2000,88,139,0
2001,70,141,0
2002,67,150,0
2003,49,137,0
2004,93,143,1
2005,79,151,0
2006,70,146,0
2007,81,152,0
2008,83,143,0
2009,77,132,0
2010,83,144,0
2011,71,128,0
2012,95,146,0
2013,73,141,0
2014,85,137,0
2015,79,136,0
2016,88,137,0
2016
2017,90,144,0
2018,87,142,0
2019,90,145,0
2020,74,143,0
2021,80,145,0
2022,31,150,0
2023,76,140,0
2024,70,137,1
2025,76,141,0
2026,48,141,0
2027,52,147,0
2028,51,134,1
2029,62,138,0
2030,26,145,0
2031,58,118,0
2032,48,141,0
2033,75,145,0
2034,88,145,0
2035,49,122,0
2036,107,149,0
2037,43,130,0
2038,73,136,0
2039,78,143,0
2040,54,141,0
2041,74,135,0
2042,58,115,0
2043,67,148,0
2044,86,141,0
2045,88,142,0
2046,67,137,0

min,,90,0
max,,190,6
steps,,11,7
decimal
