year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,115,253,235,84
1988,189,231,180,138
1989,99,243,268,163
1990,166,260,231,195
1991,117,185,176,162
1992,132,148,151,246
1993,54,156,301,176
1994,174,325,274,157
1995,333,330,261,220
1996,100,234,302,270
1997,116,252,253,246
1998,156,166,270,279
1999,212,443,347,278
2000,223,164,397,159
2001,399,347,431,239
2002,207,278,306,339
2003,121,162,262,272
2004,262,275,253,214
2005,131,275,348,194
2006,255,362,363,169
2007,249,253,467,133
2008,176,267,385,234
2009,199,205,267,273
2010,125,334,344,245
2011,93,167,333,220
2012,106,272,280,351
2013,138,273,191,223
2014,140,245,312,185
2015,204,263,121,163
2016,370,674,435,201
