year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,87,182,166,194
1988,204,318,241,137
1989,62,227,204,78
1990,88,252,108,178
1991,97,103,131,128
1992,134,333,291,321
1993,42,263,551,394
1994,111,233,226,202
1995,126,161,218,136
1996,120,177,186,256
1997,84,164,157,108
1998,94,276,201,103
1999,98,172,198,197
2000,93,217,240,168
2001,171,233,191,110
2002,66,193,204,251
2003,68,115,143,270
2004,100,99,257,182
2005,59,152,196,89
2006,124,157,248,121
2007,97,213,252,121
2008,88,308,182,310
2009,82,167,167,141
2010,115,257,120,242
2011,57,149,273,165
2012,53,294,239,119
2013,110,290,174,146
2014,158,134,240,212
2015,75,116,218,74
2016,134,225,179,197
