year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.4,10.3,17.4,6.8
1988,3.5,11.3,16.0,6.0
1989,4.7,10.8,16.2,6.5
1990,5.3,10.9,16.4,5.2
1991,3.1,9.6,17.8,4.3
1992,2.8,12.1,17.1,5.9
1993,5.0,11.9,15.3,5.5
1994,4.2,11.0,17.5,7.4
1995,3.7,10.9,15.8,6.6
1996,3.0,11.2,14.3,5.6
1997,4.8,11.6,17.2,6.8
1998,4.1,11.5,16.6,4.6
1999,3.3,11.9,17.3,5.4
2000,3.5,12.1,16.3,7.1
2001,5.0,11.5,15.8,4.8
2002,4.7,11.9,15.7,7.3
2003,2.3,14.2,18.1,5.9
2004,2.6,11.4,16.5,6.4
2005,1.3,12.5,16.3,5.2
2006,2.3,12.5,17.5,8.2
2007,4.7,13.4,15.2,5.2
2008,4.4,12.1,15.6,5.4
2009,2.2,13.3,17.5,6.6
2010,1.2,11.4,16.6,5.0
2011,3.9,13.3,16.8,8.3
2012,2.6,12.5,16.8,7.1
2013,2.2,11.1,17.9,7.1
2014,5.5,13.1,16.7,8.3
2015,3.7,14.1,18.5,8.6
2016,4.8,12.3,18.5,7.0
