year,annual-estival-days
1987,39
1988,35
1989,34
1990,41
1991,60
1992,27
1993,33
1994,51
1995,35
1996,31
1997,48
1998,48
1999,40
2000,41
2001,43
2002,33
2003,78
2004,44
2005,46
2006,56
2007,33
2008,34
2009,57
2010,44
2011,50
2012,48
2013,45
2014,25
2015,55
2016,49
