year,F1,F3,M4
,label F1,label F3,label M4
1987,83,160,3
1988,87,147,3
1989,64,143,3
1990,53,123,2
1991,78,147,1
1992,67,148,2
1993,61,168,0
1994,61,157,1
1995,78,155,1
1996,70,150,1
1997,99,169,4
1998,62,154,2
1999,87,160,2
2000,71,134,1
2001,86,146,2
2002,91,149,2
2003,75,158,2
2004,86,152,1
2005,79,153,0
2006,74,144,2
2007,84,152,2
2008,72,159,1
2009,75,154,1
2010,90,156,4
2011,94,152,2
2012,89,143,0
2013,77,159,0
2014,99,167,0
2015,86,161,6
2016,82,167,2
2016
2017,52,140,3
2018,59,141,3
2019,59,143,5
2020,76,144,4
2021,77,143,1
2022,66,130,4
2023,68,145,2
2024,53,135,4
2025,41,144,2
2026,44,145,0
2027,85,137,3
2028,75,132,4
2029,56,136,1
2030,82,145,5
2031,60,138,1
2032,61,140,3
2033,39,138,5
2034,59,139,4
2035,61,136,4
2036,74,141,4
2037,82,135,3
2038,72,143,1
2039,71,142,3
2040,81,152,4
2041,50,130,3
2042,65,152,1
2043,96,153,2
2044,101,150,6
2045,59,143,5
2046,58,131,4
