year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,100,-32,-43,79
1988,126,-96,-2,31
1989,38,-150,-107,38
1990,122,-42,-35,168
1991,45,-57,-98,63
1992,72,-126,4,89
1993,18,-49,-91,151
1994,74,-118,-73,81
1995,68,-102,114,48
1996,10,-102,-84,82
1997,30,54,-46,38
1998,85,-71,-66,150
1999,57,-16,-46,103
2000,38,-71,-77,129
2001,38,-121,9,158
2002,93,-111,39,141
2003,9,-109,-162,91
2004,67,-26,-81,92
2005,91,-57,-120,76
2006,27,-122,-30,191
2007,32,-40,-16,80
2008,133,-145,-19,104
2009,80,-131,3,149
2010,66,-127,31,51
2011,137,-55,67,333
2012,108,89,7,208
2013,95,-50,-105,365
2014,260,-15,-9,312
2015,362,-37,-51,421
2016,261,-21,17,116
