year,F1,F3,M4
,label F1,label F3,label M4
1987,56,157,1
1988,60,151,0
1989,91,162,0
1990,82,154,0
1991,68,154,0
1992,57,154,0
1993,67,147,0
1994,83,158,0
1995,69,147,0
1996,69,155,0
1997,87,163,0
1998,84,150,1
1999,80,152,0
2000,45,146,1
2001,65,152,0
2002,75,156,0
2003,83,161,0
2004,58,144,1
2005,71,163,0
2006,81,154,0
2007,91,158,0
2008,60,150,0
2009,68,151,0
2010,75,150,0
2011,83,155,0
2012,65,158,0
2013,84,160,1
2014,92,162,0
2015,83,154,0
2016,76,140,2
2016
2017,49,152,2
2018,54,140,0
2019,50,144,0
2020,45,142,2
2021,41,139,0
2022,50,147,1
2023,59,153,2
2024,67,153,0
2025,59,139,0
2026,51,149,0
2027,59,152,0
2028,47,137,0
2029,70,149,0
2030,70,154,0
2031,66,144,0
2032,38,142,0
2033,53,163,1
2034,63,140,1
2035,68,144,1
2036,41,147,0
2037,36,150,1
2038,40,138,1
2039,46,145,0
2040,59,148,1
2041,48,144,0
2042,49,139,0
2043,53,154,0
2044,59,147,0
2045,61,147,0
2046,51,142,1
