year,annual-precipitations
1987,655
1988,693
1989,502
1990,845
1991,547
1992,653
1993,589
1994,585
1995,761
1996,511
1997,669
1998,668
1999,683
2000,597
2001,657
2002,743
2003,471
2004,615
2005,576
2006,642
2007,613
2008,644
2009,687
2010,556
2011,1044
2012,938
2013,880
2014,1100
2015,1275
2016,919
