year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,124,203,121,328
1988,220,209,141,207
1989,98,139,25,148
1990,121,154,118,247
1991,136,83,141,152
1992,75,251,136,279
1993,23,227,333,273
1994,138,183,221,212
1995,209,143,182,224
1996,248,160,163,359
1997,110,150,81,196
1998,102,287,180,126
1999,193,187,227,252
2000,101,211,164,380
2001,265,200,171,115
2002,124,192,222,421
2003,83,105,130,334
2004,140,84,131,291
2005,61,214,161,206
2006,183,110,215,238
2007,131,215,117,143
2008,171,235,223,256
2009,191,149,78,232
2010,203,207,130,251
2011,133,100,201,219
2012,53,231,183,293
2013,198,278,212,280
2014,347,156,265,376
2015,236,155,236,168
2016,196,217,129,261
2017,126,199,115,210
2018,236,259,77,368
2019,116,212,113,432
2020,114,186,120,241
