year,F1,F3,M4
,label F1,label F3,label M4
1987,47,125,3
1988,39,136,7
1989,52,127,4
1990,48,128,6
1991,58,122,4
1992,77,130,3
1993,41,120,4
1994,58,133,3
1995,51,136,4
1996,58,115,3
1997,52,125,5
1998,67,129,3
1999,67,134,4
2000,59,135,4
2001,55,129,1
2002,59,116,4
2003,66,132,3
2004,63,126,5
2005,60,135,4
2006,62,126,3
2007,67,124,4
2008,63,132,3
2009,43,131,4
2010,60,121,5
2011,57,127,4
2012,58,126,4
2013,47,129,2
2014,61,118,2
2015,46,111,5
2016,65,124,5
2016
2017,41,127,7
2018,36,115,8
2019,34,123,6
2020,41,111,5
2021,59,130,3
2022,44,120,4
2023,36,120,5
2024,58,123,5
2025,32,119,6
2026,45,120,4
2027,53,126,6
2028,48,133,5
2029,24,130,7
2030,38,123,8
2031,54,112,6
2032,38,118,4
2033,49,127,5
2034,51,128,5
2035,33,115,5
2036,35,123,6
2037,28,128,4
2038,46,125,4
2039,51,101,6
2040,39,118,5
2041,57,128,7
2042,53,118,6
2043,42,120,8
2044,38,115,4
2045,43,133,7
2046,50,129,4

min,,90
max,,160
steps,,11
decimal


