year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.3,14.0,21.0,9.3
1988,6.6,15.4,20.1,8.7
1989,7.1,15.1,20.9,8.8
1990,7.6,15.2,20.8,8.1
1991,6.1,13.9,22.2,7.4
1992,5.1,15.4,20.8,8.6
1993,5.3,15.9,19.0,7.8
1994,7.1,14.9,21.6,9.8
1995,5.9,14.7,20.1,9.2
1996,5.4,15.3,18.2,8.1
1997,6.7,15.4,20.6,9.1
1998,6.4,15.4,20.3,6.9
1999,5.8,15.7,21.2,7.9
2000,6.2,16.6,20.1,9.6
2001,8.1,15.5,20.1,8.0
2002,7.0,15.8,19.3,10.0
2003,5.4,18.2,22.6,8.3
2004,5.5,15.9,20.9,8.7
2005,4.8,16.7,20.5,7.9
2006,4.7,16.7,21.7,10.5
2007,7.4,17.6,19.7,8.1
2008,7.0,15.8,19.4,8.0
2009,5.4,17.5,22.0,9.1
2010,4.4,15.8,20.8,7.5
2011,6.6,17.9,20.7,9.8
2012,6.1,16.6,21.3,9.1
2013,4.5,14.4,21.0,9.3
2014,7.7,16.7,19.7,10.8
2015,6.2,17.2,21.4,9.8
2016,7.1,15.6,21.6,8.2
2017,6.9,17.1,20.9,8.5
2018,6.3,17.5,22.7,9.9
2019,6.8,16.0,22.3,10.2
2020,7.8,17.2,22.0,9.1
