year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,8,-138,-274,226
1988,82,-91,-276,98
1989,-54,-238,-440,15
1990,-15,-171,-328,146
1991,23,-264,-300,56
1992,-34,-80,-235,189
1993,-93,-107,-28,173
1994,2,-158,-192,112
1995,79,-213,-228,109
1996,126,-198,-201,250
1997,-35,-214,-303,80
1998,-37,-68,-234,26
1999,63,-158,-177,144
2000,-35,-160,-229,272
2001,133,-154,-222,3
2002,-10,-174,-134,317
2003,-53,-321,-330,233
2004,15,-277,-263,199
2005,-62,-161,-229,114
2006,76,-267,-175,129
2007,13,-119,-261,23
2008,40,-96,-149,157
2009,55,-228,-344,128
2010,92,-123,-266,155
2011,19,-290,-155,121
2012,-103,-118,-211,202
2013,87,-45,-200,174
2014,225,-232,-73,266
2015,112,-242,-199,77
2016,75,-127,-298,168
2017,-14,-200,-295,89
2018,119,-110,-361,258
2019,-40,-181,-338,328
2020,-15,-199,-324,144
