year,annual-precipitations
1987,776
1988,776
1989,409
1990,640
1991,512
1992,741
1993,856
1994,755
1995,759
1996,930
1997,537
1998,695
1999,858
2000,856
2001,751
2002,959
2003,652
2004,645
2005,642
2006,746
2007,606
2008,885
2009,650
2010,790
2011,653
2012,760
2013,968
2014,1144
2015,795
2016,803
2017,649
2018,940
2019,873
2020,662

